Round,Indicator,Group,Subgroup,Sample Size,Response,Percent,Standard Error,Suppression,Significant 1,Significant 2
1,Reduced access to prescription drugs or medications,Race/Hispanic origin,Hispanic,,Due to pandemic,5.5,1.1,,,
1,Reduced access to prescription drugs or medications,Sex,Male,2949,Total,,,,,
1,Reduced access to prescription drugs or medications,Sex,Male,,For any reason,9.6,0.7,,,
1,Reduced access to prescription drugs or medications,Sex,Male,,Due to pandemic,2.4,0.4,,,
1,Reduced access to prescription drugs or medications,Sex,Female,3791,Total,,,,,
1,Reduced access to prescription drugs or medications,Sex,Female,,For any reason,12.3,0.8,,,
1,Reduced access to prescription drugs or medications,Sex,Female,,Due to pandemic,3.9,0.6,,,
1,Reduced access to prescription drugs or medications,Education,High school graduate or less,1281,Total,,,,,
1,Reduced access to prescription drugs or medications,Education,High school graduate or less,,For any reason,12.3,1.3,,,
1,Reduced access to prescription drugs or medications,Education,High school graduate or less,,Due to pandemic,3.5,0.6,,,
1,Reduced access to prescription drugs or medications,Education,Some college,2533,Total,,,,,
1,Reduced access to prescription drugs or medications,Education,Some college,,For any reason,12.1,0.8,,,
1,Reduced access to prescription drugs or medications,Education,Some college,,Due to pandemic,3.4,0.4,,,
1,Reduced access to prescription drugs or medications,Education,Bachelor's degree or above,2926,Total,,,,,
1,Reduced access to prescription drugs or medications,Education,Bachelor's degree or above,,For any reason,8.6,0.6,,,
1,Reduced access to prescription drugs or medications,Education,Bachelor's degree or above,,Due to pandemic,2.5,0.3,,,
1,Reduced access to prescription drugs or medications,Urbanization,Metropolitan,6007,Total,,,,,
1,Reduced access to prescription drugs or medications,Urbanization,Metropolitan,,For any reason,10.6,0.5,,,
1,Reduced access to prescription drugs or medications,Urbanization,Metropolitan,,Due to pandemic,3,0.3,,,
1,Reduced access to prescription drugs or medications,Urbanization,Non-Metropolitan,733,Total,,,,,
1,Reduced access to prescription drugs or medications,Urbanization,Non-Metropolitan,,For any reason,13.9,1.8,,,
1,Reduced access to prescription drugs or medications,Urbanization,Non-Metropolitan,,Due to pandemic,4.3,1.1,,,
1,Reduced access to prescription drugs or medications,Chronic conditions,One or more chronic conditions,4044,Total,,,,,
1,Reduced access to prescription drugs or medications,Chronic conditions,One or more chronic conditions,,For any reason,13.8,0.7,,,
1,Reduced access to prescription drugs or medications,Chronic conditions,One or more chronic conditions,,Due to pandemic,3.8,0.3,,,
1,Reduced access to prescription drugs or medications,Chronic conditions,Diagnosed diabetes,764,Total,,,,,
1,Reduced access to prescription drugs or medications,Chronic conditions,Diagnosed diabetes,,For any reason,21.3,2.1,,,
1,Reduced access to prescription drugs or medications,Chronic conditions,Diagnosed diabetes,,Due to pandemic,4.6,0.9,,,
1,Reduced access to prescription drugs or medications,Chronic conditions,Diagnosed hypertension,2401,Total,,,,,
1,Reduced access to prescription drugs or medications,Chronic conditions,Diagnosed hypertension,,For any reason,14.8,0.9,,,
1,Reduced access to prescription drugs or medications,Chronic conditions,Diagnosed hypertension,,Due to pandemic,4.1,0.6,,,
1,Reduced access to prescription drugs or medications,Chronic conditions,Current asthma,690,Total,,,,,
1,Reduced access to prescription drugs or medications,Chronic conditions,Current asthma,,For any reason,20.9,2.4,,,
1,Reduced access to prescription drugs or medications,Chronic conditions,Current asthma,,Due to pandemic,7.8,1.6,,,
2,Reduced access to prescription drugs or medications,Total,Total,5946,Total,,,,,
2,Reduced access to prescription drugs or medications,Total,Total,,For any reason,10.1,0.6,,0,
2,Reduced access to prescription drugs or medications,Total,Total,,Due to pandemic,2.9,0.3,,0,
2,Reduced access to prescription drugs or medications,Age group,18-44 years,2204,Total,,,,,
2,Reduced access to prescription drugs or medications,Age group,18-44 years,,For any reason,10.6,1,,0,
2,Reduced access to prescription drugs or medications,Age group,18-44 years,,Due to pandemic,3.1,0.5,,0,
2,Reduced access to prescription drugs or medications,Age group,45-64 years,2074,Total,,,,,
2,Reduced access to prescription drugs or medications,Age group,45-64 years,,For any reason,10.6,1,,0,
2,Reduced access to prescription drugs or medications,Age group,45-64 years,,Due to pandemic,3.5,0.7,,0,
2,Reduced access to prescription drugs or medications,Age group,65 years and over,1668,Total,,,,,
2,Reduced access to prescription drugs or medications,Age group,65 years and over,,For any reason,8.3,1,,0,
2,Reduced access to prescription drugs or medications,Age group,65 years and over,,Due to pandemic,1.3,0.3,,0,
2,Reduced access to prescription drugs or medications,Race/Hispanic origin,White non-Hispanic,4054,Total,,,,,
2,Reduced access to prescription drugs or medications,Race/Hispanic origin,White non-Hispanic,,For any reason,8.5,0.7,,0,
2,Reduced access to prescription drugs or medications,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,1.7,0.3,,0,
2,Reduced access to prescription drugs or medications,Race/Hispanic origin,Black non-Hispanic,686,Total,,,,,
2,Reduced access to prescription drugs or medications,Race/Hispanic origin,Black non-Hispanic,,For any reason,16.9,2.2,,0,
2,Reduced access to prescription drugs or medications,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,6.4,1.3,,0,
2,Reduced access to prescription drugs or medications,Race/Hispanic origin,Other non-Hispanic,460,Total,,,,,
2,Reduced access to prescription drugs or medications,Race/Hispanic origin,Other non-Hispanic,,For any reason,11.7,1.8,,0,
2,Reduced access to prescription drugs or medications,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,,,*,,
2,Reduced access to prescription drugs or medications,Race/Hispanic origin,Hispanic,746,Total,,,,,
2,Reduced access to prescription drugs or medications,Race/Hispanic origin,Hispanic,,For any reason,10.8,1.5,,1,
2,Reduced access to prescription drugs or medications,Race/Hispanic origin,Hispanic,,Due to pandemic,4.2,1,,0,
2,Reduced access to prescription drugs or medications,Sex,Male,2579,Total,,,,,
2,Reduced access to prescription drugs or medications,Sex,Male,,For any reason,9.5,1,,0,
2,Reduced access to prescription drugs or medications,Sex,Male,,Due to pandemic,2.3,0.5,,0,
2,Reduced access to prescription drugs or medications,Sex,Female,3367,Total,,,,,
2,Reduced access to prescription drugs or medications,Sex,Female,,For any reason,10.7,0.9,,0,
2,Reduced access to prescription drugs or medications,Sex,Female,,Due to pandemic,3.3,0.4,,0,
2,Reduced access to prescription drugs or medications,Education,High school graduate or less,1098,Total,,,,,
2,Reduced access to prescription drugs or medications,Education,High school graduate or less,,For any reason,12.8,1.5,,0,
2,Reduced access to prescription drugs or medications,Education,High school graduate or less,,Due to pandemic,2.9,0.6,,0,
2,Reduced access to prescription drugs or medications,Education,Some college,2218,Total,,,,,
2,Reduced access to prescription drugs or medications,Education,Some college,,For any reason,10.5,0.7,,0,
2,Reduced access to prescription drugs or medications,Education,Some college,,Due to pandemic,3.9,0.6,,0,
2,Reduced access to prescription drugs or medications,Education,Bachelor's degree or above,2630,Total,,,,,
2,Reduced access to prescription drugs or medications,Education,Bachelor's degree or above,,For any reason,6.9,0.6,,1,
2,Reduced access to prescription drugs or medications,Education,Bachelor's degree or above,,Due to pandemic,1.9,0.3,,0,
2,Reduced access to prescription drugs or medications,Urbanization,Metropolitan,5290,Total,,,,,
2,Reduced access to prescription drugs or medications,Urbanization,Metropolitan,,For any reason,10.1,0.7,,0,
2,Reduced access to prescription drugs or medications,Urbanization,Metropolitan,,Due to pandemic,3,0.4,,0,
2,Reduced access to prescription drugs or medications,Urbanization,Non-Metropolitan,656,Total,,,,,
2,Reduced access to prescription drugs or medications,Urbanization,Non-Metropolitan,,For any reason,10,1.7,,0,
2,Reduced access to prescription drugs or medications,Urbanization,Non-Metropolitan,,Due to pandemic,1.9,0.8,,0,
2,Reduced access to prescription drugs or medications,Chronic conditions,One or more chronic conditions,3633,Total,,,,,
2,Reduced access to prescription drugs or medications,Chronic conditions,One or more chronic conditions,,For any reason,12.5,0.8,,0,
2,Reduced access to prescription drugs or medications,Chronic conditions,One or more chronic conditions,,Due to pandemic,3.9,0.5,,0,
2,Reduced access to prescription drugs or medications,Chronic conditions,Diagnosed diabetes,687,Total,,,,,
2,Reduced access to prescription drugs or medications,Chronic conditions,Diagnosed diabetes,,For any reason,18.6,2.5,,0,
2,Reduced access to prescription drugs or medications,Chronic conditions,Diagnosed diabetes,,Due to pandemic,6.6,1.8,,0,
2,Reduced access to prescription drugs or medications,Chronic conditions,Diagnosed hypertension,2179,Total,,,,,
2,Reduced access to prescription drugs or medications,Chronic conditions,Diagnosed hypertension,,For any reason,14.1,1,,0,
2,Reduced access to prescription drugs or medications,Chronic conditions,Diagnosed hypertension,,Due to pandemic,4.3,0.8,,0,
2,Reduced access to prescription drugs or medications,Chronic conditions,Current asthma,617,Total,,,,,
2,Reduced access to prescription drugs or medications,Chronic conditions,Current asthma,,For any reason,18,1.8,,0,
2,Reduced access to prescription drugs or medications,Chronic conditions,Current asthma,,Due to pandemic,5.8,1,,0,
3,Reduced access to prescription drugs or medications,Total,Total,5435,Total,,,,,
3,Reduced access to prescription drugs or medications,Total,Total,,For any reason,10.8,0.7,,0,0
3,Reduced access to prescription drugs or medications,Total,Total,,Due to pandemic,2.3,0.3,,0,0
3,Reduced access to prescription drugs or medications,Age group,18-44 years,1966,Total,,,,,
3,Reduced access to prescription drugs or medications,Age group,18-44 years,,For any reason,12.1,1.2,,0,0
3,Reduced access to prescription drugs or medications,Age group,18-44 years,,Due to pandemic,3.1,0.6,,0,0
3,Reduced access to prescription drugs or medications,Age group,45-64 years,1732,Total,,,,,
3,Reduced access to prescription drugs or medications,Age group,45-64 years,,For any reason,11.1,1.1,,0,0
3,Reduced access to prescription drugs or medications,Age group,45-64 years,,Due to pandemic,2.1,0.5,,0,0
3,Reduced access to prescription drugs or medications,Age group,65 years and over,1737,Total,,,,,
3,Reduced access to prescription drugs or medications,Age group,65 years and over,,For any reason,7.4,0.7,,1,0
3,Reduced access to prescription drugs or medications,Age group,65 years and over,,Due to pandemic,0.8,0.3,,0,0
3,Reduced access to prescription drugs or medications,Race/Hispanic origin,White non-Hispanic,3466,Total,,,,,
3,Reduced access to prescription drugs or medications,Race/Hispanic origin,White non-Hispanic,,For any reason,9,0.9,,0,0
3,Reduced access to prescription drugs or medications,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,1.5,0.3,,1,0
3,Reduced access to prescription drugs or medications,Race/Hispanic origin,Black non-Hispanic,761,Total,,,,,
3,Reduced access to prescription drugs or medications,Race/Hispanic origin,Black non-Hispanic,,For any reason,19.6,2.5,,0,0
3,Reduced access to prescription drugs or medications,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,,,*,,
3,Reduced access to prescription drugs or medications,Race/Hispanic origin,Other non-Hispanic,391,Total,,,,,
3,Reduced access to prescription drugs or medications,Race/Hispanic origin,Other non-Hispanic,,For any reason,9,1.9,,0,0
3,Reduced access to prescription drugs or medications,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,,,*,,
3,Reduced access to prescription drugs or medications,Race/Hispanic origin,Hispanic,817,Total,,,,,
3,Reduced access to prescription drugs or medications,Race/Hispanic origin,Hispanic,,For any reason,12.2,1.5,,0,0
3,Reduced access to prescription drugs or medications,Race/Hispanic origin,Hispanic,,Due to pandemic,3.2,0.8,,0,0
3,Reduced access to prescription drugs or medications,Sex,Male,2451,Total,,,,,
3,Reduced access to prescription drugs or medications,Sex,Male,,For any reason,9.7,0.9,,0,0
3,Reduced access to prescription drugs or medications,Sex,Male,,Due to pandemic,1.6,0.3,,0,0
3,Reduced access to prescription drugs or medications,Sex,Female,2984,Total,,,,,
3,Reduced access to prescription drugs or medications,Sex,Female,,For any reason,11.8,1,,0,0
3,Reduced access to prescription drugs or medications,Sex,Female,,Due to pandemic,2.9,0.6,,0,0
3,Reduced access to prescription drugs or medications,Education,High school graduate or less,1277,Total,,,,,
3,Reduced access to prescription drugs or medications,Education,High school graduate or less,,For any reason,12.2,1.2,,0,0
3,Reduced access to prescription drugs or medications,Education,High school graduate or less,,Due to pandemic,2.5,0.6,,0,0
3,Reduced access to prescription drugs or medications,Education,Some college,2573,Total,,,,,
3,Reduced access to prescription drugs or medications,Education,Some college,,For any reason,11.2,1,,0,0
3,Reduced access to prescription drugs or medications,Education,Some college,,Due to pandemic,2.7,0.4,,0,0
3,Reduced access to prescription drugs or medications,Education,Bachelor's degree or above,1585,Total,,,,,
3,Reduced access to prescription drugs or medications,Education,Bachelor's degree or above,,For any reason,8.3,1,,0,0
3,Reduced access to prescription drugs or medications,Education,Bachelor's degree or above,,Due to pandemic,1.6,0.6,,0,0
3,Reduced access to prescription drugs or medications,Urbanization,Metropolitan,4604,Total,,,,,
3,Reduced access to prescription drugs or medications,Urbanization,Metropolitan,,For any reason,11,0.8,,0,0
3,Reduced access to prescription drugs or medications,Urbanization,Metropolitan,,Due to pandemic,2.3,0.4,,0,0
3,Reduced access to prescription drugs or medications,Urbanization,Non-Metropolitan,831,Total,,,,,
3,Reduced access to prescription drugs or medications,Urbanization,Non-Metropolitan,,For any reason,9.5,1.5,,1,0
3,Reduced access to prescription drugs or medications,Urbanization,Non-Metropolitan,,Due to pandemic,2,0.7,,1,0
3,Reduced access to prescription drugs or medications,Chronic conditions,One or more chronic conditions,3406,Total,,,,,
3,Reduced access to prescription drugs or medications,Chronic conditions,One or more chronic conditions,,For any reason,12.8,1,,0,0
3,Reduced access to prescription drugs or medications,Chronic conditions,One or more chronic conditions,,Due to pandemic,2.2,0.4,,1,1
3,Reduced access to prescription drugs or medications,Chronic conditions,Diagnosed diabetes,739,Total,,,,,
3,Reduced access to prescription drugs or medications,Chronic conditions,Diagnosed diabetes,,For any reason,17.6,2.2,,0,0
3,Reduced access to prescription drugs or medications,Chronic conditions,Diagnosed diabetes,,Due to pandemic,,,*,,
3,Reduced access to prescription drugs or medications,Chronic conditions,Diagnosed hypertension,2099,Total,,,,,
3,Reduced access to prescription drugs or medications,Chronic conditions,Diagnosed hypertension,,For any reason,13,1.3,,0,0
3,Reduced access to prescription drugs or medications,Chronic conditions,Diagnosed hypertension,,Due to pandemic,2.1,0.4,,1,1
3,Reduced access to prescription drugs or medications,Chronic conditions,Current asthma,563,Total,,,,,
3,Reduced access to prescription drugs or medications,Chronic conditions,Current asthma,,For any reason,15.5,2.7,,0,0
3,Reduced access to prescription drugs or medications,Chronic conditions,Current asthma,,Due to pandemic,4.3,1.3,,1,0
1,Reduced access to dental care,Total,Total,6749,Total,,,,,
1,Reduced access to dental care,Total,Total,,For any reason,28.4,1,,,
1,Reduced access to dental care,Total,Total,,Due to pandemic,25.3,0.9,,,
1,Reduced access to dental care,Age group,18-44 years,2600,Total,,,,,
1,Reduced access to dental care,Age group,18-44 years,,For any reason,27.7,1.3,,,
1,Reduced access to dental care,Age group,18-44 years,,Due to pandemic,24.4,1.2,,,
1,Reduced access to dental care,Age group,45-64 years,2361,Total,,,,,
1,Reduced access to dental care,Age group,45-64 years,,For any reason,31,1.5,,,
1,Reduced access to dental care,Age group,45-64 years,,Due to pandemic,28.1,1.4,,,
1,Reduced access to dental care,Age group,65 years and over,1788,Total,,,,,
1,Reduced access to dental care,Age group,65 years and over,,For any reason,25.6,1.5,,,
1,Reduced access to dental care,Age group,65 years and over,,Due to pandemic,22.9,1.5,,,
1,Reduced access to dental care,Race/Hispanic origin,White non-Hispanic,4477,Total,,,,,
1,Reduced access to dental care,Race/Hispanic origin,White non-Hispanic,,For any reason,30.6,1.1,,,
1,Reduced access to dental care,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,27.9,1.1,,,
1,Reduced access to dental care,Race/Hispanic origin,Black non-Hispanic,808,Total,,,,,
1,Reduced access to dental care,Race/Hispanic origin,Black non-Hispanic,,For any reason,23.1,2.1,,,
1,Reduced access to dental care,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,18.1,1.7,,,
1,Reduced access to dental care,Race/Hispanic origin,Other non-Hispanic,526,Total,,,,,
1,Reduced access to dental care,Race/Hispanic origin,Other non-Hispanic,,For any reason,25.1,2.4,,,
1,Reduced access to dental care,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,22.6,2.6,,,
1,Reduced access to dental care,Race/Hispanic origin,Hispanic,938,Total,,,,,
1,Reduced access to dental care,Race/Hispanic origin,Hispanic,,For any reason,25.3,2,,,
1,Reduced access to dental care,Race/Hispanic origin,Hispanic,,Due to pandemic,21.9,1.8,,,
1,Reduced access to dental care,Sex,Male,2948,Total,,,,,
1,Reduced access to dental care,Sex,Male,,For any reason,26,1.4,,,
1,Reduced access to dental care,Sex,Male,,Due to pandemic,22.8,1.3,,,
1,Reduced access to dental care,Sex,Female,3801,Total,,,,,
1,Reduced access to dental care,Sex,Female,,For any reason,30.6,1.1,,,
1,Reduced access to dental care,Sex,Female,,Due to pandemic,27.7,1,,,
1,Reduced access to dental care,Education,High school graduate or less,1285,Total,,,,,
1,Reduced access to dental care,Education,High school graduate or less,,For any reason,23.5,1.5,,,
1,Reduced access to dental care,Education,High school graduate or less,,Due to pandemic,20,1.3,,,
1,Reduced access to dental care,Education,Some college,,Due to pandemic,23.7,1.2,,,
1,Reduced access to dental care,Education,Bachelor's degree or above,2932,Total,,,,,
1,Reduced access to dental care,Education,Bachelor's degree or above,,For any reason,34.9,1.1,,,
1,Reduced access to dental care,Education,Bachelor's degree or above,,Due to pandemic,32.6,1.1,,,
1,Reduced access to dental care,Urbanization,Metropolitan,6023,Total,,,,,
1,Reduced access to dental care,Urbanization,Metropolitan,,For any reason,28.6,0.9,,,
1,Reduced access to dental care,Urbanization,Metropolitan,,Due to pandemic,25.5,0.8,,,
1,Reduced access to dental care,Urbanization,Non-Metropolitan,726,Total,,,,,
1,Reduced access to dental care,Urbanization,Non-Metropolitan,,For any reason,26.8,4.4,,,
1,Reduced access to dental care,Urbanization,Non-Metropolitan,,Due to pandemic,23.9,4.2,,,
1,Reduced access to dental care,Chronic conditions,One or more chronic conditions,4054,Total,,,,,
1,Reduced access to dental care,Chronic conditions,One or more chronic conditions,,For any reason,29.8,1,,,
1,Reduced access to dental care,Chronic conditions,One or more chronic conditions,,Due to pandemic,26.3,1,,,
1,Reduced access to dental care,Chronic conditions,Diagnosed diabetes,765,Total,,,,,
1,Reduced access to dental care,Chronic conditions,Diagnosed diabetes,,For any reason,27.6,2.2,,,
1,Reduced access to dental care,Chronic conditions,Diagnosed diabetes,,Due to pandemic,23,1.9,,,
1,Reduced access to dental care,Chronic conditions,Diagnosed hypertension,2410,Total,,,,,
1,Reduced access to dental care,Chronic conditions,Diagnosed hypertension,,For any reason,30,1.4,,,
1,Reduced access to dental care,Chronic conditions,Diagnosed hypertension,,Due to pandemic,25.7,1.3,,,
1,Reduced access to dental care,Chronic conditions,Current asthma,694,Total,,,,,
1,Reduced access to dental care,Chronic conditions,Current asthma,,For any reason,31.2,2.4,,,
1,Reduced access to dental care,Chronic conditions,Current asthma,,Due to pandemic,26.7,2.1,,,
2,Reduced access to dental care,Total,Total,5936,Total,,,,,
2,Reduced access to dental care,Total,Total,,For any reason,22.6,0.7,,1,
2,Reduced access to dental care,Total,Total,,Due to pandemic,18.1,0.6,,1,
2,Reduced access to dental care,Age group,18-44 years,2202,Total,,,,,
2,Reduced access to dental care,Age group,18-44 years,,For any reason,24.4,1.2,,1,
2,Reduced access to dental care,Age group,18-44 years,,Due to pandemic,19.1,1.1,,1,
2,Reduced access to dental care,Age group,45-64 years,2064,Total,,,,,
2,Reduced access to dental care,Age group,45-64 years,,For any reason,22.2,1.1,,1,
2,Reduced access to dental care,Age group,45-64 years,,Due to pandemic,18,1,,1,
2,Reduced access to dental care,Age group,65 years and over,1670,Total,,,,,
2,Reduced access to dental care,Age group,65 years and over,,For any reason,19.3,1.4,,1,
2,Reduced access to dental care,Age group,65 years and over,,Due to pandemic,15.8,1.2,,1,
2,Reduced access to dental care,Race/Hispanic origin,White non-Hispanic,4054,Total,,,,,
2,Reduced access to dental care,Race/Hispanic origin,White non-Hispanic,,For any reason,21.5,0.9,,1,
2,Reduced access to dental care,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,17.9,0.8,,1,
2,Reduced access to dental care,Race/Hispanic origin,Black non-Hispanic,682,Total,,,,,
2,Reduced access to dental care,Race/Hispanic origin,Black non-Hispanic,,For any reason,21.7,2.1,,0,
2,Reduced access to dental care,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,15.3,2.2,,0,
2,Reduced access to dental care,Race/Hispanic origin,Other non-Hispanic,457,Total,,,,,
2,Reduced access to dental care,Race/Hispanic origin,Other non-Hispanic,,For any reason,30.1,3.7,,0,
2,Reduced access to dental care,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,24.2,3.4,,0,
2,Reduced access to dental care,Race/Hispanic origin,Hispanic,743,Total,,,,,
2,Reduced access to dental care,Race/Hispanic origin,Hispanic,,For any reason,24.5,1.8,,0,
2,Reduced access to dental care,Race/Hispanic origin,Hispanic,,Due to pandemic,17.9,1.7,,0,
2,Reduced access to dental care,Sex,Male,2575,Total,,,,,
2,Reduced access to dental care,Sex,Male,,For any reason,21.6,1,,1,
2,Reduced access to dental care,Sex,Male,,Due to pandemic,16.5,1,,1,
2,Reduced access to dental care,Sex,Female,3361,Total,,,,,
2,Reduced access to dental care,Sex,Female,,For any reason,23.6,1.1,,1,
2,Reduced access to dental care,Sex,Female,,Due to pandemic,19.6,0.9,,1,
2,Reduced access to dental care,Education,High school graduate or less,1093,Total,,,,,
2,Reduced access to dental care,Education,High school graduate or less,,For any reason,20.7,1.4,,0,
2,Reduced access to dental care,Education,High school graduate or less,,Due to pandemic,14.7,1.4,,1,
2,Reduced access to dental care,Education,Some college,2212,Total,,,,,
2,Reduced access to dental care,Education,Some college,,For any reason,22.9,1.1,,1,
2,Reduced access to dental care,Education,Some college,,Due to pandemic,18.3,1,,1,
2,Reduced access to dental care,Education,Bachelor's degree or above,2631,Total,,,,,
2,Reduced access to dental care,Education,Bachelor's degree or above,,For any reason,24.5,0.9,,1,
2,Reduced access to dental care,Education,Bachelor's degree or above,,Due to pandemic,21.4,0.8,,1,
2,Reduced access to dental care,Urbanization,Metropolitan,5282,Total,,,,,
2,Reduced access to dental care,Urbanization,Metropolitan,,For any reason,23.1,0.8,,1,
2,Reduced access to dental care,Urbanization,Metropolitan,,Due to pandemic,18.5,0.7,,1,
2,Reduced access to dental care,Urbanization,Non-Metropolitan,654,Total,,,,,
2,Reduced access to dental care,Urbanization,Non-Metropolitan,,For any reason,19.1,1.9,,0,
2,Reduced access to dental care,Urbanization,Non-Metropolitan,,Due to pandemic,14.7,1.6,,1,
2,Reduced access to dental care,Chronic conditions,One or more chronic conditions,3623,Total,,,,,
2,Reduced access to dental care,Chronic conditions,One or more chronic conditions,,For any reason,23.2,0.8,,1,
2,Reduced access to dental care,Chronic conditions,One or more chronic conditions,,Due to pandemic,18.8,0.8,,1,
2,Reduced access to dental care,Chronic conditions,Diagnosed diabetes,685,Total,,,,,
2,Reduced access to dental care,Chronic conditions,Diagnosed diabetes,,For any reason,23.9,2,,0,
2,Reduced access to dental care,Chronic conditions,Diagnosed diabetes,,Due to pandemic,17.8,1.9,,1,
2,Reduced access to dental care,Chronic conditions,Diagnosed hypertension,2174,Total,,,,,
2,Reduced access to dental care,Chronic conditions,Diagnosed hypertension,,For any reason,22.3,1.1,,1,
2,Reduced access to dental care,Chronic conditions,Diagnosed hypertension,,Due to pandemic,17.4,1,,1,
2,Reduced access to dental care,Chronic conditions,Current asthma,614,Total,,,,,
2,Reduced access to dental care,Chronic conditions,Current asthma,,For any reason,27,2.8,,0,
2,Reduced access to dental care,Chronic conditions,Current asthma,,Due to pandemic,21.8,2.6,,0,
3,Reduced access to dental care,Total,Total,5426,Total,,,,,
3,Reduced access to dental care,Total,Total,,For any reason,14,0.6,,1,1
3,Reduced access to dental care,Total,Total,,Due to pandemic,6.2,0.5,,1,1
3,Reduced access to dental care,Age group,18-44 years,1970,Total,,,,,
3,Reduced access to dental care,Age group,18-44 years,,For any reason,16.8,1.3,,1,1
3,Reduced access to dental care,Age group,18-44 years,,Due to pandemic,7.5,0.7,,1,1
3,Reduced access to dental care,Age group,45-64 years,1727,Total,,,,,
3,Reduced access to dental care,Age group,45-64 years,,For any reason,12.7,1,,1,1
3,Reduced access to dental care,Age group,45-64 years,,Due to pandemic,5.5,0.8,,1,1
3,Reduced access to dental care,Age group,65 years and over,1729,Total,,,,,
3,Reduced access to dental care,Age group,65 years and over,,For any reason,10.2,1.1,,1,1
3,Reduced access to dental care,Age group,65 years and over,,Due to pandemic,4.7,0.8,,1,1
3,Reduced access to dental care,Race/Hispanic origin,White non-Hispanic,3457,Total,,,,,
3,Reduced access to dental care,Race/Hispanic origin,White non-Hispanic,,For any reason,12.3,0.9,,1,1
3,Reduced access to dental care,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,5.9,0.6,,1,1
3,Reduced access to dental care,Race/Hispanic origin,Black non-Hispanic,761,Total,,,,,
3,Reduced access to dental care,Race/Hispanic origin,Black non-Hispanic,,For any reason,20.6,2.1,,0,0
3,Reduced access to dental care,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,7.5,1.4,,1,1
3,Reduced access to dental care,Race/Hispanic origin,Other non-Hispanic,390,Total,,,,,
3,Reduced access to dental care,Race/Hispanic origin,Other non-Hispanic,,For any reason,16.4,3,,1,1
3,Reduced access to dental care,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,,,*,,
3,Reduced access to dental care,Race/Hispanic origin,Hispanic,818,Total,,,,,
3,Reduced access to dental care,Race/Hispanic origin,Hispanic,,For any reason,14.8,1.7,,1,1
3,Reduced access to dental care,Race/Hispanic origin,Hispanic,,Due to pandemic,6.7,1.1,,1,1
3,Reduced access to dental care,Sex,Male,2449,Total,,,,,
3,Reduced access to dental care,Sex,Male,,For any reason,12.8,0.9,,1,1
3,Reduced access to dental care,Sex,Male,,Due to pandemic,5.6,0.6,,1,1
3,Reduced access to dental care,Sex,Female,2977,Total,,,,,
3,Reduced access to dental care,Sex,Female,,For any reason,15.2,1.1,,1,1
3,Reduced access to dental care,Sex,Female,,Due to pandemic,6.8,0.8,,1,1
3,Reduced access to dental care,Education,High school graduate or less,1268,Total,,,,,
3,Reduced access to dental care,Education,High school graduate or less,,For any reason,13.5,1.2,,1,1
3,Reduced access to dental care,Education,High school graduate or less,,Due to pandemic,4.9,0.7,,1,1
3,Reduced access to dental care,Education,Some college,2571,Total,,,,,
3,Reduced access to dental care,Education,Some college,,For any reason,15.4,1.1,,1,1
3,Reduced access to dental care,Education,Some college,,Due to pandemic,7.5,0.9,,1,1
3,Reduced access to dental care,Education,Bachelor's degree or above,1587,Total,,,,,
3,Reduced access to dental care,Education,Bachelor's degree or above,,For any reason,13.3,1.2,,1,1
3,Reduced access to dental care,Education,Bachelor's degree or above,,Due to pandemic,6.7,0.8,,1,1
3,Reduced access to dental care,Urbanization,Metropolitan,4595,Total,,,,,
3,Reduced access to dental care,Urbanization,Metropolitan,,For any reason,14.2,0.7,,1,1
3,Reduced access to dental care,Urbanization,Metropolitan,,Due to pandemic,6.4,0.5,,1,1
3,Reduced access to dental care,Urbanization,Non-Metropolitan,831,Total,,,,,
3,Reduced access to dental care,Urbanization,Non-Metropolitan,,For any reason,13.1,1.4,,1,1
3,Reduced access to dental care,Urbanization,Non-Metropolitan,,Due to pandemic,5.2,1.3,,1,1
3,Reduced access to dental care,Chronic conditions,One or more chronic conditions,3395,Total,,,,,
3,Reduced access to dental care,Chronic conditions,One or more chronic conditions,,For any reason,15,0.9,,1,1
3,Reduced access to dental care,Chronic conditions,One or more chronic conditions,,Due to pandemic,6.5,0.6,,1,1
3,Reduced access to dental care,Chronic conditions,Diagnosed diabetes,735,Total,,,,,
3,Reduced access to dental care,Chronic conditions,Diagnosed diabetes,,For any reason,16.1,2,,1,1
3,Reduced access to dental care,Chronic conditions,Diagnosed diabetes,,Due to pandemic,6.3,1.2,,1,1
